Date,UPRO_BnH,UPRO_Strategy,UPRO_Position
2019-04-26,0.014433754632664497,0.01443375463266457,1.0
2019-04-29,0.0034660305440123995,0.003466030544012152,1.0
2019-04-30,0.00163584311446896,0.001635843114469034,1.0
2019-05-01,-0.0225046662042917,-0.022504666204291656,1.0
2019-05-02,-0.006126730340281994,-0.006126730340282071,1.0
2019-05-03,0.028208221605816153,0.028208221605816312,1.0
2019-05-06,-0.011809427822568885,-0.011809427822568882,1.0
2019-05-07,-0.050009339866450175,-0.050959093028918594,0.0
2019-05-08,-0.004644667179388162,0.0,0.0
2019-05-09,-0.010110934814893446,0.0,0.0
2019-05-10,0.014142637873077124,0.0,0.0
2019-05-13,-0.07398809663559736,0.0,0.0
2019-05-14,0.025099635086963223,0.0,0.0
2019-05-15,0.017343295470216402,-0.0009992504996874949,1.0
2019-05-16,0.027075563552756643,0.027075563552756463,1.0
2019-05-17,-0.01874625572435218,-0.01874625572435215,1.0
2019-05-20,-0.01930364275834473,-0.019303642758344796,1.0
2019-05-21,0.02577127939973356,0.025771279399733654,1.0
2019-05-22,-0.008506227372166775,-0.008506227372166802,1.0
2019-05-23,-0.03591384629288752,-0.0359138462928876,1.0
2019-05-24,0.003932032910279437,0.003932032910279574,1.0
2019-05-28,-0.026798713246173222,-0.026798713246173226,1.0
2019-05-29,-0.019911011860017647,-0.020890855825910482,0.0
2019-05-30,0.007131913907900023,0.0,0.0
2019-05-31,-0.04098693594147307,0.0,0.0
2019-06-03,-0.008055557067400687,0.0,0.0
2019-06-04,0.0649672687381504,0.0,0.0
2019-06-05,0.02520680282910659,0.0,0.0
2019-06-06,0.01900838368186175,0.0,0.0
2019-06-07,0.03021056514816811,0.0,0.0
2019-06-10,0.013776754301154881,-0.0009992504996876048,1.0
2019-06-11,-0.0007763479921623073,-0.0007763479921623539,1.0
2019-06-12,-0.005439975234245442,-0.005439975234245416,1.0
2019-06-13,0.013088483833877618,0.01308848383387757,1.0
2019-06-14,-0.005013779840559174,-0.005013779840559227,1.0
2019-06-17,0.001744412436160081,0.0017444124361599782,1.0
2019-06-18,0.02959951388999782,0.029599513889997778,1.0
2019-06-19,0.008267457873958328,0.008267457873958314,1.0
2019-06-20,0.027767450933038562,0.02776745093303858,1.0
2019-06-21,-0.003807808690184933,-0.0038078086901849684,1.0
2019-06-24,-0.0040042425869039056,-0.00400424258690381,1.0
2019-06-25,-0.02912276963690863,-0.029122769636908692,1.0
2019-06-26,-0.004336229757280985,-0.004336229757280985,1.0
2019-06-27,0.011172277668968222,0.011172277668968117,1.0
2019-06-28,0.014044738810395696,0.014044738810395854,1.0
2019-07-01,0.026038959191500677,0.026038959191500698,1.0
2019-07-02,0.009538942172003573,0.009538942172003552,1.0
2019-07-03,0.02210762322290516,0.022107623222905253,1.0
2019-07-05,-0.004361025470099755,-0.00436102547009971,1.0
2019-07-08,-0.014891205404007568,-0.014891205404007476,1.0
2019-07-09,0.003378931360832782,0.0033789313608327334,1.0
2019-07-10,0.014179607181656895,0.014179607181656758,1.0
2019-07-11,0.006116574109046979,0.006116574109047042,1.0
2019-07-12,0.01406964678456979,0.014069646784569682,1.0
2019-07-15,0.00017129272959182096,0.00017129272959205393,1.0
2019-07-16,-0.009932935927719266,-0.009932935927719374,1.0
2019-07-17,-0.019893091581435485,-0.019893091581435342,1.0
2019-07-18,0.010236781112369808,0.01023678111236988,1.0
2019-07-19,-0.017121149075038034,-0.01712114907503812,1.0
2019-07-22,0.007287644367596657,0.007287644367596715,1.0
2019-07-23,0.0204695967554136,0.020469596755413606,1.0
2019-07-24,0.013833468325229026,0.013833468325229052,1.0
2019-07-25,-0.014838718789029204,-0.014838718789029133,1.0
2019-07-26,0.020429226588650984,0.02042922658865097,1.0
2019-07-29,-0.005089822280383349,-0.005089822280383427,1.0
2019-07-30,-0.007162259855846509,-0.00716225985584643,1.0
2019-07-31,-0.034524383810611625,-0.03452438381061161,1.0
2019-08-01,-0.025262230048554324,-0.026236724134063173,0.0
2019-08-02,-0.021719511260317903,0.0,0.0
2019-08-05,-0.08899249017359034,0.0,0.0
2019-08-06,0.03829631328391936,0.0,0.0
2019-08-07,0.0021694828590439474,0.0,0.0
2019-08-08,0.057468928303026745,0.0,0.0
2019-08-09,-0.020472506168461746,0.0,0.0
2019-08-12,-0.03686135397974988,0.0,0.0
2019-08-13,0.046163195397494805,0.0,0.0
2019-08-14,-0.08768628229344755,-0.0009992504996875669,1.0
2019-08-15,0.007441059895385349,0.00643387069575489,0.0
2019-08-16,0.043701163499954676,0.0,0.0
2019-08-19,0.03597422380092108,0.0,0.0
2019-08-20,-0.023339590501693985,-0.0009992504996875014,1.0
2019-08-21,0.02428592322620382,0.024285923226203817,1.0
2019-08-22,-0.0013278538815544305,-0.0013278538815544405,1.0
2019-08-23,-0.07768274063257219,-0.07768274063257215,1.0
2019-08-26,0.03274305718660364,0.03171057231518138,0.0
2019-08-27,-0.010967331462870544,0.0,0.0
2019-08-28,0.02076627403510245,0.0,0.0
2019-08-29,0.03772476997278451,0.0,0.0
2019-08-30,-0.0009516622986932566,-0.0009992504996876835,1.0
2019-09-03,-0.017717780099032243,-0.01771778009903226,1.0
2019-09-04,0.0327773403862619,0.03277734038626193,1.0
2019-09-05,0.03887320776405567,0.03887320776405562,1.0
2019-09-06,0.0025306038562240563,0.0025306038562241256,1.0
2019-09-09,0.0007215327273089045,0.000721532727308966,1.0
2019-09-10,0.0,0.0,1.0
2019-09-11,0.021261189429606864,0.021261189429606708,1.0
2019-09-12,0.00846858308436782,0.008468583084367954,1.0
2019-09-13,-0.002274542162987281,-0.0022745421629871538,1.0
2019-09-16,-0.008591820302272124,-0.008591820302272284,1.0
2019-09-17,0.0077820844554752355,0.00778208445547518,1.0
2019-09-18,0.0015794426391664285,0.0015794426391665434,1.0
2019-09-19,-0.001576951934041837,-0.0015769519340420013,1.0
2019-09-20,-0.014917338636009081,-0.014917338636008927,1.0
2019-09-23,0.0008906533947632411,0.0008906533947631914,1.0
2019-09-24,-0.024563928862435747,-0.024563928862435705,1.0
2019-09-25,0.01751815113908406,0.016500887367482755,0.0
2019-09-26,-0.006097532243949266,0.0,0.0
2019-09-27,-0.016961360299285855,0.0,0.0
2019-09-30,0.014500834875074808,0.0,0.0
2019-10-01,-0.03582394902695085,0.0,0.0
2019-10-02,-0.05329358042765775,0.0,0.0
2019-10-03,0.023786012919484012,0.0,0.0
2019-10-04,0.04007748803007405,0.0,0.0
2019-10-07,-0.012658314147557248,0.0,0.0
2019-10-08,-0.04656887395527143,0.0,0.0
2019-10-09,0.02709151227972595,0.0,0.0
2019-10-10,0.020215541387721858,-0.0009992504996875324,1.0
2019-10-11,0.030194434736514175,0.030194434736514113,1.0
2019-10-14,-0.002198001095901292,-0.0021980010959013817,1.0
2019-10-15,0.029924635890692608,0.029924635890692688,1.0
2019-10-16,-0.004991191951590368,-0.004991191951590298,1.0
2019-10-17,0.007882319413762273,0.007882319413762287,1.0
2019-10-18,-0.013508450396970462,-0.013508450396970439,1.0
2019-10-21,0.021441370824644146,0.021441370824643913,1.0
2019-10-22,-0.010760418698001484,-0.01076041869800135,1.0
2019-10-23,0.008559473644084603,0.008559473644084442,1.0
2019-10-24,0.004242957923678015,0.004242957923678066,1.0
2019-10-25,0.01302833041072149,0.013028330410721524,1.0
2019-10-28,0.01668409097057144,0.016684090970571365,1.0
2019-10-29,-0.0018804907758368516,-0.0018804907758367634,1.0
2019-10-30,0.009761945246711257,0.009761945246711198,1.0
2019-10-31,-0.009158612833239155,-0.009158612833238948,1.0
2019-11-01,0.027730145763503744,0.027730145763503602,1.0
2019-11-04,0.011992021718155277,0.011992021718155246,1.0
2019-11-05,-0.003620828069174964,-0.0036208280691750836,1.0
2019-11-06,0.001156268307115793,0.0011562683071158725,1.0
2019-11-07,0.01022927427797482,0.010229274277974822,1.0
2019-11-08,0.006206411354261032,0.006206411354260941,1.0
2019-11-11,-0.004707317865884075,-0.004707317865884244,1.0
2019-11-12,0.004892466811227125,0.004892466811227192,1.0
2019-11-13,0.0012982240656567168,0.0012982240656566146,1.0
2019-11-14,0.004051956350801689,0.004051956350801592,1.0
2019-11-15,0.021791594689897664,0.02179159468989775,1.0
2019-11-18,0.0017377059551977325,0.0017377059551978208,1.0
2019-11-19,-0.0014191561278916742,-0.0014191561278916877,1.0
2019-11-20,-0.010739176562119312,-0.01073917656211945,1.0
2019-11-21,-0.004948821609121357,-0.00494882160912141,1.0
2019-11-22,0.005775685533335517,0.005775685533335614,1.0
2019-11-25,0.022970137709698246,0.022970137709698246,1.0
2019-11-26,0.006237311324575945,0.006237311324576024,1.0
2019-11-27,0.013017229551659515,0.013017229551659543,1.0
2019-11-29,-0.01040221411449882,-0.010402214114498909,1.0
2019-12-02,-0.025661017729334157,-0.02566101772933425,1.0
2019-12-03,-0.02046620778618058,-0.020466207786180465,1.0
2019-12-04,0.0178165120294147,0.016798949971513367,0.0
2019-12-05,0.00588788303041432,-0.000999250499687535,1.0
2019-12-06,0.026419864365337276,0.026419864365337095,1.0
2019-12-09,-0.008939520030472936,-0.008939520030472794,1.0
2019-12-10,-0.003887927779317679,-0.003887927779317752,1.0
2019-12-11,0.008430659699447896,0.008430659699447875,1.0
2019-12-12,0.02570087668985699,0.02570087668985692,1.0
2019-12-13,0.0016603284435035004,0.001660328443503451,1.0
2019-12-16,0.020946435227075177,0.020946435227075375,1.0
2019-12-17,0.0001476024647262264,0.00014760246472602797,1.0
2019-12-18,-0.0001475806814538183,-0.00014758068145369945,1.0
2019-12-19,0.011955799642816123,0.011955799642815993,1.0
2019-12-20,0.01516894688807291,0.015168946888072996,1.0
2019-12-23,0.0028738117299837995,0.0028738117299839127,1.0
2019-12-24,-0.0002729609429733548,-0.0002729609429735228,1.0
2019-12-26,0.014638375186792008,0.014638375186791999,1.0
2019-12-27,-0.00042405444629689537,-0.0004240544462967791,1.0
2019-12-30,-0.01655616436352758,-0.016556164363527637,1.0
2019-12-31,0.007338086899384866,0.0073380868993849265,1.0
